iso_code,continent,location,date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
CYP,Europe,Cyprus,3/29/2020,896007,179,17,13.571,5,0,0.714,199.775,18.973,15.147,5.58,0,0.797,1.23,9,10.045,33,36.83,14,15.475,51,56.372
CYP,Europe,Cyprus,4/5/2020,896007,426,30,35.286,9,0,0.571,475.443,33.482,39.381,10.045,0,0.638,1.15,11,12.277,55,61.383,11,12.159,46,50.845
CYP,Europe,Cyprus,4/12/2020,896007,616,21,27.143,10,0,0.143,687.495,23.437,30.293,11.161,0,0.159,0.95,13,14.509,42,46.875,8,8.843,21,23.212
CYP,Europe,Cyprus,4/19/2020,896007,761,26,20.714,12,0,0.286,849.324,29.018,23.118,13.393,0,0.319,0.75,12,13.393,36,40.178,3,3.316,12,13.264
CYP,Europe,Cyprus,4/26/2020,896007,810,6,7,14,0,0.286,904.011,6.696,7.812,15.625,0,0.319,0.67,9,10.045,30,33.482,2,2.211,6,6.632
CYP,Europe,Cyprus,5/3/2020,896007,864,7,7.714,15,0,0.143,964.278,7.812,8.61,16.741,0,0.159,0.66,6,6.696,23,25.669,1,1.105,6,6.632
CYP,Europe,Cyprus,5/10/2020,896007,892,1,4,15,0,0,995.528,1.116,4.464,16.741,0,0,0.64,4,4.464,20,22.321,1,1.105,6,6.632
CYP,Europe,Cyprus,8/2/2020,896007,1124,10,10.143,19,0,0,1254.454,11.161,11.32,21.205,0,0,1.7,0,0,4,4.464,1,1.105,8,8.843
CYP,Europe,Cyprus,8/9/2020,896007,1233,11,15.571,19,0,0,1376.105,12.277,17.379,21.205,0,0,1.33,0,0,5,5.58,1,1.105,4,4.421
CYP,Europe,Cyprus,8/23/2020,896007,1417,11,12.143,21,0,0.143,1581.461,12.277,13.552,23.437,0,0.159,0.97,1,1.116,3,3.348,1,1.105,3,3.316
CYP,Europe,Cyprus,9/13/2020,896007,1523,3,2.286,21,0,0,1699.764,3.348,2.551,23.437,0,0,1.12,1,1.116,4,4.464,1,1.105,2,2.211
CYP,Europe,Cyprus,9/27/2020,896007,1684,13,14.857,22,0,0,1879.45,14.509,16.582,24.553,0,0,1.43,0,0,17,18.973,2,2.211,15,16.58
CYP,Europe,Cyprus,10/4/2020,896007,1811,22,18.143,22,0,0,2021.19,24.553,20.249,24.553,0,0,1.46,2,2.232,11,12.277,3,3.316,4,4.421
CYP,Europe,Cyprus,10/18/2020,896007,2379,0,56.143,25,0,0,2655.113,0,62.659,27.902,0,0,1.81,2,2.232,19,21.205,1,1.105,29,32.055
CYP,Europe,Cyprus,10/25/2020,896007,3444,130,152.143,25,0,0,3843.72,145.088,169.801,27.902,0,0,1.52,2,2.232,32,35.714,4,4.421,32,35.371
CYP,Europe,Cyprus,11/1/2020,896007,4366,149,131.714,26,1,0.143,4872.73,166.293,147.001,29.018,1.116,0.159,1.35,5,5.58,39,43.526,3,3.316,36,39.792
CYP,Europe,Cyprus,11/8/2020,896007,5871,314,215,27,1,0.143,6552.404,350.444,239.953,30.134,1.116,0.159,1.23,7,7.812,77,85.937,6,6.632,66,74.057
CYP,Europe,Cyprus,11/15/2020,896007,7051,198,168.571,39,1,1.714,7869.358,220.98,188.136,43.526,1.116,1.913,1.14,9,10.045,73,81.473,13,14.369,58,65.215
CYP,Europe,Cyprus,11/22/2020,896007,8456,245,200.714,43,0,0.571,9437.426,273.435,224.01,47.991,0,0.638,1.16,9,10.045,97,108.258,6,6.632,71,79.584
CYP,Europe,Cyprus,11/29/2020,896007,10231,248,253.571,48,0,0.714,11418.438,276.784,283.002,53.571,0,0.797,1.15,15,16.741,119,132.811,8,8.843,81,90.637
CYP,Europe,Cyprus,12/6/2020,896007,12182,369,278.714,60,2,1.714,13595.876,411.827,311.063,66.964,2.232,1.913,1.18,12,13.393,121,135.044,10,11.053,72,80.689
CYP,Europe,Cyprus,12/13/2020,896007,14801,324,374.143,79,3,2.714,16518.844,361.604,417.567,88.169,3.348,3.029,1.13,11,12.277,120,133.928,7,7.737,74,82.9
CYP,Europe,Cyprus,12/20/2020,896007,17477,419,382.286,92,2,1.857,19505.428,467.63,426.655,102.678,2.232,2.073,1.1,14,15.625,125,139.508,13,14.369,95,106.112
CYP,Europe,Cyprus,12/27/2020,896007,19392,25,273.571,114,2,3.143,21642.688,27.902,305.323,127.231,2.232,3.508,1.11,25,27.902,154,171.874,21,23.212,106,118.271
CYP,Europe,Cyprus,1/3/2021,896007,23903,627,644.429,132,2,2.571,26677.247,699.771,719.223,147.32,2.232,2.87,1.08,28,31.25,182,203.123,12,13.264,126,140.377
CYP,Europe,Cyprus,1/10/2021,896007,27469,337,509.429,150,6,2.571,30657.127,376.113,568.554,167.409,6.696,2.87,0.87,36,40.178,208,232.141,23,25.423,140,155.852
CYP,Europe,Cyprus,1/17/2021,896007,29269,202,257.143,170,1,2.857,32666.039,225.445,286.988,189.731,1.116,3.189,0.74,39,43.526,208,232.141,27,29.844,120,133.745
CYP,Europe,Cyprus,1/24/2021,896007,30345,129,153.714,186,4,2.286,33866.923,143.972,171.555,207.588,4.464,2.551,0.73,35,39.062,173,193.079,15,16.58,92,102.796
CYP,Europe,Cyprus,1/31/2021,896007,31228,113,126.143,200,0,2,34852.406,126.115,140.783,223.213,0,2.232,0.8,32,35.714,140,156.249,9,9.948,69,77.373
CYP,Europe,Cyprus,2/7/2021,896007,32156,132,132.571,214,1,2,35888.112,147.32,147.958,238.837,1.116,2.232,0.88,24,26.786,109,121.651,7,7.737,69,77.373
CYP,Europe,Cyprus,2/14/2021,896007,32902,102,106.571,225,1,1.571,36720.695,113.838,118.94,251.114,1.116,1.754,0.97,21,23.437,87,97.097,11,12.159,55,61.899
CYP,Europe,Cyprus,2/21/2021,896007,33665,107,109,234,0,1.286,37572.251,119.419,121.651,261.159,0,1.435,1.13,17,18.973,81,90.401,10,11.053,64,71.847
CYP,Europe,Cyprus,2/28/2021,896007,34936,243,181.571,236,0,0.286,38990.767,271.203,202.645,263.391,0,0.319,1.32,14,15.625,88,98.214,3,3.316,54,60.793
CYP,Europe,Cyprus,3/7/2021,896007,37251,298,330.714,237,0,0.143,41574.452,332.587,369.098,264.507,0,0.159,1.26,14,15.625,129,143.972,9,9.948,102,113.849
CYP,Europe,Cyprus,3/14/2021,896007,39953,398,386,243,0,0.857,44590.053,444.193,430.8,271.203,0,0.957,1.18,24,26.786,205,228.793,22,24.317,167,186.801
CYP,Europe,Cyprus,3/21/2021,896007,42558,407,372.143,247,1,0.571,47497.397,454.238,415.335,275.667,1.116,0.638,1.11,22,24.553,212,236.605,18,19.896,158,176.853
CYP,Europe,Cyprus,3/28/2021,896007,44981,334,346.143,255,2,1.143,50201.617,372.765,386.317,284.596,2.232,1.276,1.11,30,33.482,196,218.748,25,27.633,137,152.536
CYP,Europe,Cyprus,4/4/2021,896007,48252,404,467.286,266,0,1.571,53852.258,450.889,521.52,296.873,0,1.754,1.15,28,31.25,210,234.373,21,23.212,159,177.959
CYP,Europe,Cyprus,4/11/2021,896007,52005,446,536.143,277,4,1.571,58040.841,497.764,598.369,309.149,4.464,1.754,1.13,33,36.83,225,251.114,23,25.423,170,190.117
CYP,Europe,Cyprus,4/18/2021,896007,56377,786,624.571,295,4,2.571,62920.267,877.225,697.061,329.238,4.464,2.87,1.14,36,40.178,271,302.453,26,28.739,200,223.277
CYP,Europe,Cyprus,4/25/2021,896007,62546,895,881.286,305,1,1.429,69805.258,998.876,983.57,340.399,1.116,1.594,1.02,38,42.41,301,335.935,21,23.212,245,273.017
CYP,Europe,Cyprus,5/2/2021,896007,67449,463,700.429,320,1,2.143,75277.314,516.737,781.722,357.14,1.116,2.392,0.84,37,41.294,292,325.89,22,24.317,214,238.752
CYP,Europe,Cyprus,5/9/2021,896007,70240,397,398.714,341,2,3,78392.245,443.077,444.99,380.577,2.232,3.348,0.72,35,39.062,224,249.998,16,17.685,174,194.539
CYP,Europe,Cyprus,5/16/2021,896007,71976,157,248,353,0,1.714,80329.73,175.222,276.784,393.97,0,1.913,0.62,31,34.598,157,175.222,16,17.685,106,118.271
CYP,Europe,Cyprus,5/23/2021,896007,72913,91,133.857,361,1,1.143,81375.48,101.562,149.393,402.899,1.116,1.276,0.6,30,33.482,115,128.347,11,12.159,66,74.057
CYP,Europe,Cyprus,5/30/2021,896007,73440,56,75.286,368,0,1,81963.645,62.5,84.024,410.711,0,1.116,0.66,23,25.669,73,81.473,5,5.527,38,42.003
CYP,Europe,Cyprus,6/6/2021,896007,73872,41,61.714,371,0,0.429,82445.784,45.759,68.877,414.059,0,0.478,0.8,13,14.509,50,55.803,1,1.105,22,24.317
CYP,Europe,Cyprus,6/13/2021,896007,74279,42,58.143,381,1,1.429,82900.022,46.875,64.891,425.22,1.116,1.594,0.99,8,8.929,32,35.714,5,5.527,20,22.107
CYP,Europe,Cyprus,6/20/2021,896007,74704,62,60.714,382,0,0.143,83374.349,69.196,67.761,426.336,0,0.159,1.29,10,11.161,46,51.339,8,8.843,34,37.581
CYP,Europe,Cyprus,6/27/2021,896007,75691,226,141,382,0,0,84475.903,252.23,157.365,426.336,0,0,1.64,10,11.161,50,55.803,2,2.211,32,35.371
CYP,Europe,Cyprus,7/4/2021,896007,78953,583,466,382,0,0,88116.499,650.665,520.085,426.336,0,0,1.67,13,14.509,71,79.24,11,12.159,73,81.795
CYP,Europe,Cyprus,7/11/2021,896007,84931,960,854,388,0,0.857,94788.322,1071.42,953.118,433.032,0,0.957,1.45,14,15.625,139,155.133,9,9.948,127,141.483
CYP,Europe,Cyprus,7/18/2021,896007,91846,928,987.857,393,0,0.714,102505.896,1035.706,1102.511,438.613,0,0.797,1.21,21,23.437,218,243.302,18,19.896,180,201.171
CYP,Europe,Cyprus,7/25/2021,896007,98499,789,950.429,408,1,2.143,109931.061,880.573,1060.738,455.354,1.116,2.392,1.02,34,37.946,276,308.033,24,26.528,220,245.384
CYP,Europe,Cyprus,8/1/2021,896007,103669,742,738.571,432,2,3.429,115701.105,828.119,824.292,482.139,2.232,3.827,0.88,45,50.223,301,335.935,28,30.949,212,236.541
CYP,Europe,Cyprus,8/8/2021,896007,107316,599,521,450,1,2.571,119771.386,668.522,581.469,502.228,1.116,2.87,0.84,57,63.616,286,319.194,27,29.844,181,202.276
CYP,Europe,Cyprus,8/15/2021,896007,110430,401,444.857,473,2,3.286,123246.805,447.541,496.488,527.898,2.232,3.667,0.81,49,54.687,240,267.855,27,29.844,132,147.009
CYP,Europe,Cyprus,8/22/2021,896007,112863,311,347.571,496,2,3.286,125962.186,347.096,387.912,553.567,2.232,3.667,0.8,44,49.107,194,216.516,18,19.896,117,130.429
CYP,Europe,Cyprus,8/29/2021,896007,114792,213,275.571,518,2,3.143,128115.071,237.721,307.555,578.12,2.232,3.508,0.81,27,30.134,157,175.222,11,12.159,88,98.375
CYP,Europe,Cyprus,9/5/2021,896007,116622,295,261.429,536,2,2.571,130157.465,329.238,291.771,598.21,2.232,2.87,0.8,20,22.321,143,159.597,9,9.948,88,98.375
CYP,Europe,Cyprus,9/12/2021,896007,117832,136,172.857,551,1,2.143,131507.901,151.785,192.919,614.951,1.116,2.392,0.79,20,22.321,112,124.999,15,16.58,73,81.795
CYP,Europe,Cyprus,9/19/2021,896007,118864,140,147.429,561,2,1.429,132659.678,156.249,164.54,626.111,2.232,1.594,0.82,17,18.973,98,109.374,12,13.264,52,58.583
