iso_code,continent,location,date,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BGD,Asia,Bangladesh,1/15/2022,11833475.0,24028.0,69.873,0.142,26044.0,0.154,0.1112,9.0,tests performed,141669487.0,85287956.0,56191252.0,190279.0,2321483.0,1457375.0,82.76,49.82,32.82,0.11,8513.0,1115423.0,0.652,57.41,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,1/16/2022,11862780.0,29305.0,70.046,0.173,27090.0,0.16,0.1266,7.9,tests performed,144171163.0,87092079.0,56481969.0,597115.0,2501676.0,1696220.0,84.22,50.88,32.99,0.35,9909.0,1317705.0,0.77,57.41,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,1/17/2022,11894760.0,31980.0,70.235,0.189,27924.0,0.165,0.1456,6.9,tests performed,147090808.0,89310521.0,57039215.0,741072.0,2919645.0,1994776.0,85.92,52.17,33.32,0.43,11653.0,1579175.0,0.922,57.41,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,1/18/2022,11929814.0,35054.0,70.442,0.207,29017.0,0.171,0.1694,5.9,tests performed,148552776.0,90391838.0,57363038.0,797900.0,1461968.0,1885709.0,86.78,52.8,33.51,0.47,11016.0,1462460.0,0.854,57.41,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,1/19/2022,11967644.0,37830.0,70.665,0.223,30855.0,0.182,0.1898,5.3,tests performed,149871251.0,91322538.0,57675272.0,873441.0,1318475.0,1756143.0,87.55,53.35,33.69,0.51,10259.0,1324230.0,0.774,57.41,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,1/20/2022,12008936.0,41292.0,70.909,0.244,32766.0,0.193,0.2115,4.7,tests performed,151390044.0,92426233.0,58005259.0,958552.0,1518793.0,1846702.0,88.44,53.99,33.88,0.56,10788.0,1379499.0,0.806,57.41,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,1/25/2022,12213534.0,49492.0,72.117,0.292,40531.0,0.239,0.2933,3.4,tests performed,155002117.0,94703296.0,59108539.0,1190282.0,1119638.0,921334.0,90.55,55.32,34.53,0.7,5382.0,615923.0,0.36,64.81,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,1/26/2022,12262607.0,49073.0,72.407,0.29,42138.0,0.249,0.3025,3.3,tests performed,156416604.0,95440321.0,59711538.0,1264745.0,1414487.0,935050.0,91.37,55.75,34.88,0.74,5462.0,588255.0,0.344,64.81,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,2/19/2022,13184817.0,24698.0,77.853,0.146,31563.0,0.186,0.1198,8.3,tests performed,182357027.0,102503628.0,76750335.0,3103064.0,3913910.0,1379994.0,106.53,59.88,44.83,1.81,8061.0,375333.0,0.219,53.7,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGD,Asia,Bangladesh,3/7/2022,13548305.0,20009.0,79.999,0.118,20802.0,0.123,0.0283,35.3,tests performed,217266600.0,125588721.0,87310746.0,4367133.0,1467914.0,1046971.0,126.92,73.36,51.0,2.55,6116.0,414127.0,0.242,16.67,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
